Lat,Lon,Title,surname,name,birth,city birth,death,city death,gender
30.3308401,71.247499,Pakistan,Tabbaa,Dodi,1952,Quetta,,,male
46.603354,1.8883335,France,Elkoury,Fouad,1952,Paris,,,male
33.8750629,35.843409,Lebanon,Hatoum,Mona,1952,Beirut,,,male
34.6401861,39.0494106,Syria,Shaarani,Mouneer Al,1952,Salamiyah,,,male
32.6475314,54.5643516,Iran,Derakshani,Reza,1952,Sangsar,,,male
34.6401861,39.0494106,Syria,Dalloul,Ziad,1953,Soueida,,,male
26.2540493,29.2675469,Egypt,Abla,Mohamed,1953,Belkas,--,--,male
26.1551249,50.5344606,Bahrain,Sharif,Abdul Rahim,1954,Manama,,,male
33.0955793,44.1749775,Iraq,Siti,Walid,1954,Duhok,,,male
32.6475314,54.5643516,Iran,Nazar,Ahmad Amin,1955,Abadan,,,male
32.6475314,54.5643516,Iran,Nayini,Malekeh,1955,Tehran,,,male
25.6242618,42.3528328,Saudi Arabia,Daham,Sameer Al,1955,Riyadh,,,male
32.6475314,54.5643516,Iran,Houshiary,Shirazeh,1955,Shiraz,,,
25.3336984,51.2295295,Qatar,Ahmad,Yousef,1955,Doha,--,--,male
25.3336984,51.2295295,Qatar,Hassan,Ali ,1956,Doha,,,
26.1551249,50.5344606,Bahrain,Samra,Faisal,1956,Bahrain,,,
34.6401861,39.0494106,Syria,Ali,Mustafa,1956,Latakia,--,--,male
25.6242618,42.3528328,Saudi Arabia,Hajailan,Fahad Al,1957,Riyadh,,,
32.6475314,54.5643516,Iran,Khosrojerdi,Hossein,1957,Tehran,,,
32.6475314,54.5643516,Iran,Neshat,Nisrin,1957,Qazvin,,,
34.6401861,39.0494106,Syria,Moualla,Ahmad,1958,Syria,,,
33.0955793,44.1749775,Iraq,Mal-Allah,Hanaa,1958,Thee Qar,,,
34.6401861,39.0494106,Syria,Sabour,Nizar,1958,Latakia,,,
46.603354,1.8883335,France,Tatah,Djamel,1959,Saint-Chamond,,,
32.6475314,54.5643516,Iran,Jinchi,Pouran,1959,Mashhad,,,
31.1667049,36.941628,Jordan,Ameri,Mohammed Al,1959,Jordan,,,
34.6401861,39.0494106,Syria,Abdelke,Youssef,1959,Qamishli,--,--,male
33.0955793,44.1749775,Iraq,Risan,Kareem,1960,Baghdad,,,
32.6475314,54.5643516,Iran,Mohebali,Mehrdad,1960,Tehran,,,
32.6475314,54.5643516,Iran,Sangtarash,Mir Yaghoub,1960,Tabriz,,,
33.0955793,44.1749775,Iraq,Ali,Himat Mohammed,1960,Kirkuk,--,--,
32.6475314,54.5643516,Iran,Ajami,Hamid,1960,Tehran,--,--,male
30.8124247,34.8594762,Israel,Rabah,Khalil,1961,Jerusalem,,,
38.9597594,34.9249653,Turkey,Ozcay,Mehmed,1961,Trebizond,,,
32.6475314,54.5643516,Iran,Jabbari,Sedaghat,1961,Tehran,,,
33.0955793,44.1749775,Iraq,Obaidi,Mahmoud Al,1962,Baghdad,,,
33.0955793,44.1749775,Iraq,Shammarey,Mohammad Al,1962,Baghdad,,,
33.8750629,35.843409,Lebanon,Debs,Nada,1962,Beirut,,,
33.0955793,44.1749775,Iraq,Kufi,Nedim,1962,Baghdad,,,
51.1638175,10.4478313,Germany,Hefuna,Susan,1962,Germany,,,
25.6242618,42.3528328,Saudi Arabia,Soliman,Abdulrahman Al,1963,Al Ahsa,,,
32.6475314,54.5643516,Iran,Moshiri,Farhad,1963,Shiraz,,,
31.1728205,-7.3362482,Morocco,Ghazali,Hakim,1963,Casablanca,,,
26.2540493,29.2675469,Egypt,Hafez,Khaled,1963,Cairo,,,
32.6475314,54.5643516,Iran,Hassanzadeh,Khosrow,1963,Tehran,,,
33.0955793,44.1749775,Iraq,Yahya ,Nazar,1963,Baghdad,,,
26.2540493,29.2675469,Egypt,Amer,Ghada,1963,Cairo,--,--,
33.0955793,44.1749775,Iraq,Ghaeb,Ghassan,1964,Baghdad,,,
33.8750629,35.843409,Lebanon,Rechmaoui,Marwan,1964,Beirut,,,
33.0955793,44.1749775,Iraq,Bahrani,Ahmed Al,1965,Tuarej,--,--,
33.0955793,44.1749775,Iraq,Tirafkan,Sadegh,1965,Karbala,2013,Karbala,
33.8750629,35.843409,Lebanon,Aoun,Youssef,1965,Beirut,,,
33,35,Lebanon,Zaatari,Akram,1966,Saida,,,
31.7621153,-95.6307891,Israel,Daydban,Ayman Yossri,1966,Ramallah,--,--,
42.6384261,12.674297,Italy,Ghezelayagh,Bita,1966,Florence,--,--,
28.0000272,2.9999825,Algeria,Yahiaoui,Kamel,1966,Algiers,--,--,
33.8750629,35.843409,Lebanon,Yacoub,Paola,1966,Beirut,--,--,
33.0955793,44.1749775,Iraq,Ani,Jannane Al,1966,Kirkuk,--,--,
31.1667049,36.941628,Jordan,Mansour,Nassar,1967,Amman,--,--,
33.8750629,35.843409,Lebanon,Raad,Walid,1967,Chbanie,--,--,
35.000074,104.999927,China,Hajj Noor Deen Mi,Guanjiang,1968,Shangdong,--,--,
39.7837304,-100.445882,United States,Jurayj,John,1968,Evanston,--,--,
25.6242618,42.3528328,Saudi Arabia,Faisal,Reem Al,1968,Jeddah,--,--,
33.8750629,35.843409,Lebanon,Chakar,Tony,1968,Beirut,--,--,
32.633314,54.533516,Iran,Shafie,Hadieh,1969,Tehran,--,--,
33.8750629,35.843409,Lebanon,Hadijthomas,Joana,1969,Beirut,--,--,
33.8750629,35.843409,Lebanon,Joreige,Khalil,1969,Beirut,--,--,
25.6242618,42.3528328,Saudi Arabia,Jeraibi,Mahdi Al,1969,Mecca,--,--,
32.6475314,54.5643516,Iran,Satrapi,Marjane,1969,Rasht,--,--,
36.7500371,3.0343579,France,Attia,Kader,1970,Saint Denis,--,--,
31.1728205,-7.3362482,Morocco,Fatmi,Mounir,1970,Tangiers,--,--,
28.0000272,2.9999825,Algeria,Benbouta,Nadia,1970,Algiers,--,--,
25.6242618,42.3528328,Saudi Arabia,Jassim,Zaman,1971,Al Khobar,,,
32.6475314,54.5643516,Iran,Ahrarnia,Farhad,1971,Shiraz,--,--,
32.6475314,54.5643516,Iran,Fathi,Golnaz,1972,Tehran,,,
26.2540493,29.2675469,Egypt,Nabil,Youssef,1972,Cairo,--,--,
25.6242618,42.3528328,Saudi Arabia,Gharem,Abdulnasser,1973,Khamis Mushaif,--,--,
39.7837304,-100.445882,United States,Parla,Jose,1973,Miami,--,--,
32.6475314,54.5643516,Iran,Aliabadi,Shirin,1973,Tehran,--,--,female
34.6401861,39.0494106,Syria,Adam,Sabhan,1973,Al Hasakah,--,--,male
32.6214,54.52516,Iran,Ghadirian,Shadi,1974,Tehran,--,--,
54.7023545,-3.2765753,United Kingdom,Dawood,Shezad,1974,London,--,--,
33.8750629,35.843409,Lebanon,Baalbaki,Ayman,1975,"Aadaysit Marjaayoun,",--,--,
32.6214,54.52516,Iran,Haerizadeh,Ramin,1975,Tehran,--,--,
31.1728205,-7.3362482,Morocco,Rahmoun,Younes,1975,Tetouan,--,--,
33.0955793,44.1749775,Iraq,Alsoudani,Ahmed,1975,Baghdad,--,--,
32.6475314,54.5643516,Iran,Fassih,Hossein,1977,Tehran,--,--,
32.6475314,54.5643516,Iran,Bakhshi Mohakar,Mahmoud,1977,Tehran,--,--,
64.6863136,97.7453061,Russia,Bouabdellah,Zoulikha,1977,Moscow,--,--,
32.6475314,54.5643516,Iran,Moghadam,Hossein,1978,Tehran,--,--,
33.8750629,35.843409,Lebanon,Baalbaki,Oussama,1978,Beirut,--,--,
32.6475314,54.5643516,Iran,Haerizadeh,Rokni,1978,Tehran,--,--,
25.6242618,42.3528328,Saudi Arabia,Aseeri,Ahmed Mater Al Ziad,1979,Abha,--,--,
32.6475314,54.5643516,Iran,Hashemi,Nargess,1979,Tehran,--,--,
33.8750629,35.843409,Lebanon,Darghouth,Tagreed,1979,Saida,--,--,
31.7621153,35.6307891,Israel,Hourani,Wafa,1979,Hebron,--,--,
32.68,54.55,Iran,Farhadian,Mehdi,1980,Tehran,--,--,
32.64514,54.567,Iran,Zakerameli,Shantia,1980,Isfahan,--,--,
32.6375314,54.553516,Iran,Masoumian,Saba,1982,Tehran,--,--,
31.1728205,-7.3362482,Morocco,Ramhani,Zakaria,1983,Tangiers,--,--,
33.8750629,35.543409,Lebanon,Haidar,Aya,1985,Beirut,--,--,
32.674,54.5743516,Iran,Tabrizian,Mitra,--,Tehran,--,--,female
